month_id,remittances
2010-02,"1,413"
2010-03,"1,553"
2010-04,"1,520"
2010-05,"1,579"
2010-06,"1,624"
2010-07,"1,617"
2010-08,"1,503"
2010-09,"1,601"
2010-10,"1,674"
2010-11,"1,613"
2010-12,"1,694"
2011-01,"1,477"
2011-02,"1,501"
2011-03,"1,617"
2011-04,"1,616"
2011-05,"1,688"
2011-06,"1,737"
2011-07,"1,715"
2011-08,"1,670"
2011-09,"1,736"
2011-10,"1,777"
2011-11,"1,783"
2011-12,"1,800"
2012-01,"1,557"
2012-02,"1,587"
2012-03,"1,698"
2012-04,"1,701"
2012-05,"1,774"
2012-06,"1,811"
2012-07,"1,809"
2012-08,"1,797"
2012-09,"1,838"
2012-10,"1,928"
2012-11,"1,918"
2012-12,"1,975"
2013-01,"1,699"
2013-02,"1,700"
2013-03,"1,768"
2013-04,"1,819"
2013-05,"1,879"
2013-06,"1,935"
2013-07,"1,946"
2013-08,"1,938"
2013-09,"1,953"
2013-10,"2,083"
2013-11,"2,084"
2013-12,"2,179"
2014-01,"1,865"
2014-02,"1,791"
2014-03,"2,063"
2014-04,"1,998"
2014-05,"1,959"
2014-06,"2,009"
2014-07,"2,125"
2014-08,"2,007"
2014-09,"2,205"
2014-10,"2,258"
2014-11,"1,993"
2014-12,"2,354"
2015-01,"1,927"
2015-02,"1,936"
2015-03,"2,394"
2015-04,"2,070"
2015-05,"2,068"
2015-06,"2,227"
2015-07,"2,253"
2015-08,"1,994"
2015-09,"2,234"
2015-10,"2,164"
2015-11,"1,871"
2015-12,"2,470"
2016-01,"1,997"
2016-02,"2,098"
2016-03,"2,362"
2016-04,"2,213"
2016-05,"2,188"
2016-06,"2,334"
2016-07,"2,131"
2016-08,"2,319"
2016-09,"2,383"
2016-10,"2,099"
2016-11,"2,217"
2016-12,"2,559"
2017-01,"2,169"
2017-02,"2,169"
2017-03,"2,615"
2017-04,"2,083"
2017-05,"2,310"
2017-06,"2,467"
2017-07,"2,283"
2017-08,"2,499"
2017-09,"2,186"
2017-10,"2,275"
2017-11,"2,262"
2017-12,"2,741"
2018-01,"2,379"
2018-02,"2,267"
2018-03,"2,360"
2018-04,"2,347"
2018-05,"2,469"
2018-06,"2,357"
2018-07,"2,401"
2018-08,"2,476"
2018-09,"2,237"
2018-10,"2,474"
2018-11,"2,326"
2018-12,"2,849"
2019-01,"2,484"
2019-02,"2,301"
2019-03,"2,514"
2019-04,"2,441"
2019-05,"2,609"
2019-06,"2,290"
2019-07,"2,581"
2019-08,"2,589"
2019-09,"2,379"
2019-10,"2,671"
2019-11,"2,372"
2019-12,"2,902"
2020-01,"2,648"
2020-02,"2,358"
