month_id,gdp_household,gdp_gov,gdp_capital,gdp_exports,gdp_imports,gdp_se,gdp_total
1981-03,633013.599711544,145725.309606602,264486.89566627,168059.928789889,163794.535415401,64599.32524715387,1112090.523606058
1981-06,705894.095294031,158393.741864746,274098.556184869,160596.087871615,181961.222779661,32272.372535370756,1149293.630970971
1981-09,712488.514150659,149185.319236529,268056.318290085,148601.90936144,175448.230439722,-36060.64524732786,1066823.185351663
1981-12,812117.204903765,156957.596222123,295365.422118775,168961.176277056,169363.040425216,-52815.58973519807,1211222.769361305
1982-03,654252.538138833,166337.715470429,323420.49104177,146767.867724269,168021.666816886,22920.915322070243,1145677.860880485
1982-06,718373.325717272,167085.835337625,300434.396918974,160046.056214734,181057.785539172,27799.489708798006,1192681.3183582309
1982-09,737034.723758277,157769.662766067,271817.550050183,127314.468298325,182644.94058136,-20664.12416586536,1090627.340125627
1982-12,854105.409475618,165138.252795879,299600.312709073,144003.906032672,176031.835302582,-8485.895755009027,1278330.149955651
1983-03,678393.41259629,151592.430423338,348369.951591315,149276.835655038,168722.917194949,28469.932229862083,1187379.645300894
1983-06,727596.370470289,156981.854668175,354672.867089608,165650.509439347,179621.31720181,34006.499349927064,1259286.7838155362
1983-09,733239.977668132,156908.628206038,250094.984122189,148021.257786859,179362.612675205,3167.545976377791,1112069.781084391
1983-12,851998.616225289,161797.017842449,322657.809996888,145534.482118756,160597.938778036,-83514.00053617312,1237875.986869173
1984-03,685673.642860509,144137.729467236,275599.072387287,154050.703015261,131311.24038082,6942.009816123173,1135091.917165596
1984-06,737818.97183921,141753.282887082,262200.379475924,165022.046990581,138488.604502287,15364.189856072888,1183670.266546583
1984-09,742368.492086528,127746.539796551,124591.746256246,167754.548394165,153550.549023469,-16066.112486425904,992844.665023595
1984-12,862360.593183753,144972.297039132,149296.073410543,154699.531809992,150151.921883424,-13822.898615772836,1147353.674944223
1985-03,709460.726312162,128765.414246913,125244.377231101,135897.82533717,113008.758369523,29823.03658877674,1016182.6213465999
1985-06,723789.601681522,128132.89878446,178172.582883415,137840.948607457,142119.457928494,46703.831135259126,1072520.405163619
1985-09,721525.842306782,136188.412736678,119172.174570218,126739.463628913,124890.245706081,-37455.70507762302,941279.942458887
1985-12,856902.881559534,163221.389321949,133976.556305266,134228.685926459,115072.073685902,-50092.21695641638,1123165.2224708898
1986-03,708361.187656793,127087.528444728,161313.896111131,137993.273951053,121361.536858345,3417.673831685097,1016812.0231370451
1986-06,757131.546423881,131173.699989228,166553.033683124,157073.019464337,138995.205563314,29909.538054132136,1102845.632051388
1986-09,760661.872873474,138529.088873349,129126.701646917,164442.328444524,143154.254333266,-35313.545039206045,1014292.192465792
1986-12,879110.202345852,160259.385942694,154286.777148827,164297.925020086,141119.947835075,-51832.08858661004,1165002.2540357742
1987-03,720554.999733027,134895.277563926,154526.797702482,155832.551314588,153735.027211598,37918.21445018321,1049992.813552608
1987-06,790918.167626873,139667.976560214,172196.225929036,164358.62145071,170255.729512514,47525.142073048744,1144410.4041273678
1987-09,781066.708393447,142489.928479869,212433.860091287,171292.166296419,188640.748574645,-37681.88164908881,1080960.033037288
1987-12,920238.211876654,163828.606295991,188439.937187195,171315.621028282,184013.035281244,-48708.38154414506,1211100.9595627328
1988-03,761199.729624219,137300.504612739,199175.696536137,174934.55836217,179724.199233312,18012.708899297984,1110898.998801251
1988-06,845027.802701003,146133.550534441,168853.663159883,189283.574640014,203775.472839459,25559.36001487286,1171082.478210755
1988-09,841993.652268807,163253.319618298,212267.781132933,196309.171084058,219547.997100031,-45687.79634372401,1148588.1306603411
1988-12,944334.647715971,183078.001404522,249196.265401047,200297.347023759,225289.554807198,4733.313109552022,1356350.0198476529
1989-03,798675.967498712,159245.111060195,212882.017728329,191748.911429763,208110.535193538,28080.507438653847,1182521.979962115
1989-06,873505.132769136,158254.259987081,241081.559204712,204836.671075874,245751.692364239,1299.0282011539675,1233224.958873718
1989-09,877863.698945553,167856.719729858,215059.374356348,210197.654970967,245617.099368525,-13660.106700567994,1211700.241933633
1989-12,997000.053036598,185527.769532866,325799.940100611,217795.368703396,250479.534223698,-20151.956179242115,1455491.640970531
1990-03,834218.207443351,178848.049633518,293922.512781036,207324.910291503,244430.60718447,-26863.83263718011,1243019.240327758
1990-06,917187.921685231,177340.350682083,293050.772926636,211672.486441417,276415.980791319,-46080.714291126,1276754.836652922
1990-09,923736.719437304,178345.921845833,234758.335828892,218880.549355571,275128.850900723,-23582.30437028571,1257010.371196591
1990-12,1057080.05606411,180560.162268565,328854.094503437,205932.646461509,247774.069963488,-61808.15708140796,1462844.732252725
1991-03,867721.05215391,176122.026593733,262245.690603085,213208.586129984,240057.588893321,-34587.34991531214,1244652.416672079
1991-06,945886.789661624,173824.167177809,213375.521264547,228124.918005869,256694.702307805,-42391.91604190203,1262124.777760142
1991-09,946234.671475464,174687.674817034,207567.070180088,216572.757005656,265021.529023261,-46942.82200176292,1233097.822453218
1991-12,1065642.381059,176853.668461425,270682.22089228,240031.667208491,272721.218085612,-3599.778001026949,1476888.941534557
1992-03,908059.311012335,175967.197726199,262798.251759469,231016.292416462,259577.536722143,-46372.604720083065,1271890.911472239
