month_id,usd_php
1985-03,18.47780952
1985-04,18.484075
1985-05,18.48004762
1985-06,18.47273684
1985-07,18.58102273
1985-08,18.60475
1985-09,18.61571429
1985-10,18.70391304
1985-11,18.736825
1985-12,18.89631579
1986-01,19.04168182
1986-02,20.460875
1986-03,20.78105263
1986-04,20.50454545
1986-05,20.50025
1986-06,20.552
1986-07,20.4542619
1986-08,20.43165
1986-09,20.5092381
1986-10,20.43722727
1986-11,20.436
1986-12,20.51983333
1987-01,20.46292857
1987-02,20.52522222
1987-03,20.5625
1987-04,20.5048
1987-05,20.47323529
1987-06,20.45640476
1987-07,20.45
1987-08,20.43871429
1987-09,20.60054545
1987-10,20.70622727
1987-11,20.8171
1987-12,20.81475
1988-01,20.84615789
1988-02,20.90295
1988-03,21.02772727
1988-04,21.02955
1988-05,20.95504545
1988-06,20.94872727
1988-07,21.02466667
1988-08,21.05908696
1988-09,21.2485
1988-10,21.36163158
1988-11,21.37705
1988-12,21.356
1989-01,21.34213636
1989-02,21.35745
1989-03,21.33875
1989-04,21.4136
1989-05,21.57963636
1989-06,21.68
1989-07,21.88652381
1989-08,21.88
1989-09,21.96914286
1989-10,21.95890476
1989-11,22.099
1989-12,22.33515789
1990-01,22.46436364
1990-02,22.62445
1990-03,22.75936364
1990-04,22.76088889
1990-05,22.90181818
1990-06,23.10255
1990-07,23.56318182
1990-08,24.4473913
1990-09,25.3519
1990-10,25.75
1990-11,28
1990-12,28
1991-01,28
1991-02,28
1991-03,28
1991-04,27.92614286
1991-05,27.81859091
1991-06,27.7955
1991-07,27.621
1991-08,27.1995
1991-09,26.98342857
1991-10,26.9946087
1991-11,26.7366
1991-12,26.66826316
1992-01,26.54463636
1992-02,26.158
1992-03,25.81018182
1992-04,25.66715789
1992-05,26.14955556
1992-06,26.12052632
1992-07,25.26163636
1992-08,24.66914286
1992-09,24.726
1992-10,24.78486364
1992-11,24.93605263
1992-12,25.32210526
1993-01,25.28005
1993-02,25.31163158
1993-03,25.3656087
1993-04,26.078
1993-05,27.00642857
1993-06,27.20633333
1993-07,27.56877273
1993-08,27.94886364
1993-09,28.23372727
1993-10,29.16
1993-11,28.48489474
1993-12,27.7939
1994-01,27.72452381
1994-02,27.64626316
1994-03,27.58722727
1994-04,27.52975
1994-05,27.053
1994-06,26.97557143
1994-07,26.4607619
1994-08,26.31321739
1994-09,25.91127273
1994-10,25.39445
1994-11,24.2648
1994-12,24.145
1995-01,24.62227273
1995-02,25.02815789
1995-03,25.85895652
1995-04,26.00772222
1995-05,25.84928571
1995-06,25.6742381
1995-07,25.51404762
1995-08,25.71086957
1995-09,25.9692381
1995-10,25.96536364
1995-11,26.16705263
1995-12,26.20595
1996-01,26.21163636
1996-02,26.1587619
1996-03,26.19566667
1996-04,26.18968421
1996-05,26.17585714
1996-06,26.19442105
1996-07,26.19954545
1996-08,26.19940909
1996-09,26.23557143
1996-10,26.26930435
1996-11,26.26577778
1996-12,26.29247368
1997-01,26.31731818
1997-02,26.34105
1997-03,26.33194737
1997-04,26.36422727
1997-05,26.3721
1997-06,26.3761
1997-07,27.66791304
1997-08,29.3305
1997-09,32.3945
1997-10,34.46386957
1997-11,34.51775
1997-12,37.17063158
1998-01,42.661
1998-02,40.4143
1998-03,39.00404545
1998-04,38.44215
1998-05,39.29710526
1998-06,40.39905
1998-07,41.78052174
1998-08,43.03752381
1998-09,43.77590909
1998-10,42.88819048
1998-11,39.94352632
1998-12,39.0733
1999-01,38.40425
1999-02,38.7799
1999-03,38.91078261
1999-04,38.24173684
1999-05,37.83847619
1999-06,37.89931818
1999-07,38.27981818
1999-08,39.26095455
1999-09,40.17381818
1999-10,40.31504762
1999-11,40.34094737
1999-12,40.6232381
2000-01,40.42661905
2000-02,40.5717
2000-03,40.9381
2000-04,41.1884
2000-05,41.8063
2000-06,42.6489
2000-07,44.35566667
2000-08,44.89765217
2000-09,45.73666667
2000-10,48.10613636
2000-11,49.75372222
2000-12,49.89615
2001-01,50.96927273
2001-02,48.2897
2001-03,48.46731818
2001-04,50.18538889
2001-05,50.53885714
2001-06,51.48805
2001-07,53.22418182
2001-08,51.98769565
2001-09,51.2499
2001-10,51.73330435
2001-11,51.98989474
2001-12,51.7889
2002-01,51.40968182
2002-02,51.28168421
2002-03,51.06605263
2002-04,50.98719048
2002-05,49.83827273
2002-06,50.40647368
2002-07,50.59631818
2002-08,51.79309091
2002-09,52.1292381
2002-10,52.90695455
2002-11,53.3082
2002-12,53.51947059
2003-01,53.5635
2003-02,54.07484211
2003-03,54.59085714
2003-04,52.80678947
2003-05,52.50715
2003-06,53.3992
2003-07,53.71382609
2003-08,54.99135
2003-09,55.0235
2003-10,54.95195652
2003-11,55.37178947
2003-12,55.44510526
2004-01,55.5261
2004-02,56.06957895
2004-03,56.30291304
2004-04,55.90389474
2004-05,55.8453
2004-06,55.98481818
2004-07,55.95272727
2004-08,55.83422727
2004-09,56.21318182
2004-10,56.34142857
2004-11,56.32205263
2004-12,56.18283333
2005-01,55.76619048
2005-02,54.81284211
2005-03,54.4402
2005-04,54.4917619
2005-05,54.34109524
2005-06,55.17904762
2005-07,56.0062
2005-08,55.9523
2005-09,56.15618182
2005-10,55.7077
2005-11,54.56057895
2005-12,53.61175
2006-01,52.61713636
2006-02,51.8168
2006-03,51.21891304
2006-04,51.35972222
2006-05,52.12727273
2006-06,53.15666667
2006-07,52.3976
2006-08,51.36177273
2006-09,50.40121053
2006-10,50.00380952
2006-11,49.84342857
2006-12,49.467
2007-01,48.91431818
2007-02,48.38135
2007-03,48.51722727
2007-04,47.82244444
2007-05,46.81414286
2007-06,46.16015
2007-07,45.62509091
2007-08,46.07371429
2007-09,46.13145
2007-10,44.38028571
2007-11,43.21763158
2007-12,41.74288889
2008-01,40.93809091
2008-02,40.6711
